Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
Registry		1,968 K	16,824 K	88		
System Idle Process	66.18	56 K	8 K	0		
System	3.67	188 K	24 K	4		
 Interrupts	1.30	0 K	0 K	n/a	Hardware Interrupts and DPCs	
 smss.exe		504 K	260 K	288		
 Memory Compression		132 K	3,312 K	1580		
csrss.exe		1,748 K	1,796 K	408		
wininit.exe		1,316 K	968 K	484		
 services.exe		4,372 K	6,060 K	580		
  svchost.exe		988 K	736 K	716	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.22	9,384 K	14,100 K	776	Host Process for Windows Services	Microsoft Corporation
   dllhost.exe		1,640 K	3,176 K	4556	COM Surrogate	Microsoft Corporation
   ShellExperienceHost.exe	Suspended	23,028 K	53,580 K	4640	Windows Shell Experience Host	Microsoft Corporation
   SearchUI.exe	Suspended	117,264 K	172,284 K	4748	Search and Cortana application	Microsoft Corporation
   RuntimeBroker.exe		3,800 K	14,120 K	4792	Runtime Broker	Microsoft Corporation
   RuntimeBroker.exe		8,704 K	23,200 K	5004	Runtime Broker	Microsoft Corporation
   SkypeApp.exe	Suspended	12,804 K	3,540 K	3804	SkypeApp	Microsoft Corporation
   SkypeBackgroundHost.exe	Suspended	2,036 K	1,228 K	4592	Microsoft Skype	Microsoft Corporation
   OfficeHubTaskHost.exe	Suspended	8,344 K	4,056 K	5732	Office Hub Task Host	Microsoft Corporation
   RuntimeBroker.exe		5,472 K	16,824 K	5960	Runtime Broker	Microsoft Corporation
   RuntimeBroker.exe		2,396 K	2,864 K	5648	Runtime Broker	Microsoft Corporation
   RuntimeBroker.exe		2,716 K	2,012 K	6400	Runtime Broker	Microsoft Corporation
   OpenWith.exe		18,324 K	14,056 K	3940	Pick an app	Microsoft Corporation
   OpenWith.exe		6,900 K	4,320 K	4020	Pick an app	Microsoft Corporation
   OpenWith.exe		6,716 K	4,200 K	4500	Pick an app	Microsoft Corporation
   OpenWith.exe		6,944 K	4,300 K	4124	Pick an app	Microsoft Corporation
   dllhost.exe		4,304 K	6,640 K	1396	COM Surrogate	Microsoft Corporation
   Microsoft.Photos.exe	Suspended	27,312 K	13,204 K	3228		
   RuntimeBroker.exe		2,884 K	3,048 K	3776	Runtime Broker	Microsoft Corporation
   smartscreen.exe		18,720 K	30,984 K	5252	Windows Defender SmartScreen	Microsoft Corporation
   ApplicationFrameHost.exe		4,060 K	21,592 K	892	Application Frame Host	Microsoft Corporation
  svchost.exe	0.02	6,576 K	8,532 K	828	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,440 K	3,000 K	872	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,684 K	1,260 K	300	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		5,824 K	7,556 K	352	Host Process for Windows Services	Microsoft Corporation
   taskhostw.exe		8,276 K	11,916 K	3652	Host Process for Windows Tasks	Microsoft Corporation
  svchost.exe		2,104 K	2,996 K	752	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.02	9,664 K	11,480 K	636	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,016 K	4,232 K	1048	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,628 K	5,156 K	1140	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		13,476 K	11,800 K	1172	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,660 K	4,612 K	1216	Host Process for Windows Services	Microsoft Corporation
   sihost.exe		5,552 K	14,984 K	3532	Shell Infrastructure Host	Microsoft Corporation
  svchost.exe		3,848 K	4,120 K	1236	Host Process for Windows Services	Microsoft Corporation
